recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance,JaroSimilarity,10,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,5,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,7,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,10,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,5,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,7,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,10,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,5,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,7,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,10,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,5,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,7,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,10,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,5,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,7,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,10,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,5,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,7,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,10,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,0,0.0,0.0,8.155719878207917E-5,1.3576349998302955E-5,9.513354878038212E-5
Dominance,JaroSimilarity,50,2,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,5,0.0,0.0,0.0,0.0,0.0
