recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,40,0,0.0,0.0,0.0,0.011363636363636364,0.03409090909090909,0.003278688524590164,0.04720566318926975,0.014642324888226529
Dominance,JaroSimilarity,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,50,0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164,0.013114754098360656,0.003278688524590164
Dominance,JaroSimilarity,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominance,JaroSimilarity,5,7,0.0,0.0,0.0,0.0,0.0,0.009836065573770493,0.03934426229508197,0.009836065573770493
Dominance,JaroSimilarity,5,10,0.0,0.0,0.0,0.0,0.0,0.009836065573770493,0.03934426229508197,0.009836065573770493
Dominance,JaroSimilarity,5,0,0.0,0.0,0.0,0.0,0.0,0.009836065573770493,0.03934426229508197,0.009836065573770493
Dominance,JaroSimilarity,60,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
